time,roll,pitch
7.4746,-16.0290,-39.4590
7.4831,-14.7558,-39.3848
7.4930,-13.5857,-40.7915
7.5028,-12.9396,-40.1836
7.5122,-12.9830,-44.9080
7.5218,-15.1816,-46.2499
7.5319,-11.9894,-45.4379
7.5410,-10.7876,-46.7135
7.5515,-10.8948,-47.7943
7.5618,-10.6301,-47.6346
7.5707,-9.1584,-46.6504
7.5807,-9.5324,-44.7041
7.5910,-9.2933,-43.9062
7.6047,-9.2552,-42.6332
7.6150,-6.8180,-48.2246
7.6307,-7.0568,-48.5650
7.6399,-5.0279,-49.9252
7.6494,-4.6230,-51.8317
7.6590,-6.0615,-54.8849
7.6679,-6.7274,-53.6907
7.6775,-6.5201,-55.9397
7.6872,-7.3110,-54.9917
7.6971,-9.0215,-54.5627
7.7068,-8.6951,-56.5010
7.7154,-6.1681,-57.6920
7.7253,-7.0248,-57.5331
7.7347,-5.1109,-58.3722
7.7449,-4.7888,-55.6425
7.7550,-5.6100,-59.5812
7.7638,-9.7232,-59.6455
7.7737,-11.4332,-57.3413
7.7829,-9.8136,-58.0506
7.7932,-10.9509,-60.0298
7.8034,-11.0323,-59.2822
7.8130,-9.0320,-59.6762
7.8230,-8.5381,-58.9993
7.8318,-9.0572,-60.3473
7.8421,-8.6597,-60.0417
7.8526,-9.0763,-59.5899
7.8624,-7.3549,-59.9461
7.8726,-6.4236,-61.8466
7.8812,-7.0294,-60.9388
7.8908,-7.1089,-62.1670
7.9006,-5.7211,-65.8592
7.9100,-6.2025,-66.9244
7.9198,-6.2820,-68.1296
7.9284,-6.6682,-66.2140
7.9387,-5.9062,-66.2737
7.9484,-5.4805,-66.8377
7.9582,-5.1828,-65.5375
7.9684,-6.0062,-63.5926
7.9776,-6.7626,-63.8445
7.9877,-5.0409,-58.9553
7.9988,-2.9535,-58.5319
8.0088,-2.1323,-57.3009
8.0188,0.0000,-67.8185
8.0289,-8.1284,-73.2925
8.0394,-9.5348,-71.2831
8.0481,-8.2590,-71.5252
8.0658,-5.8779,-75.6315
8.0768,-5.2102,-75.1870
8.0861,-3.9524,-74.6968
8.0960,-4.9441,-73.4255
8.1058,-3.8247,-73.2097
8.1155,0.1267,-62.7546
8.1258,-3.8618,-72.7417
8.1359,-2.8392,-65.2204
8.1459,-0.9748,-75.1666
8.1563,-0.8246,-77.0905
8.1653,-1.1223,-80.0073
8.1752,-0.9927,-82.2069
8.1847,-1.3798,-81.8327
8.1934,-1.2440,-82.0865
8.2032,-0.9586,-82.6298
8.2133,-1.2703,-81.9210
8.2227,-2.8017,-80.1084
8.2330,-2.8528,-80.9569
8.2421,-1.1732,-80.5886
8.2522,-0.6940,-82.0501
8.2619,-2.5220,-87.2306
8.2707,0.8654,-83.8047
8.2808,0.1560,-84.2821
8.2903,2.3736,-78.6664
8.3000,0.0872,-81.1086
8.3101,2.4841,-78.0337
8.3190,2.5524,-77.3795
8.3294,1.1350,-79.9048
8.3384,0.4576,-80.7230
8.3485,-0.3651,-81.3220
8.3588,-0.2395,-81.5279
8.3688,0.3682,-80.3026
8.3789,-1.7308,-82.6883
8.3875,-3.0536,-82.6630
8.3972,-3.5679,-83.2845
8.4070,-3.9105,-83.2830
8.4155,-2.1168,-77.2395
8.4253,-5.3950,-79.0499
8.4342,-2.9168,-84.5085
8.4437,-0.3705,-88.0835
8.4532,-3.3433,-84.8331
8.4618,-1.1527,-88.1807
8.4712,-0.9991,-87.5925
8.4813,-1.7041,-87.1808
8.4912,-0.8688,-88.8985
8.5009,-0.7821,-86.6550
8.5097,-0.0922,-85.2326
8.5199,5.9157,-80.1770
8.5296,-0.9132,-83.1651
8.5388,3.0186,-86.6067
8.5484,4.2959,-85.6915
8.5576,2.1817,-87.7745
8.5676,0.6248,-87.2017
8.5773,0.5705,-88.2090
8.5859,0.5547,-87.8042
8.5963,0.8589,-86.7624
8.6056,0.5303,-85.5611
8.6154,1.0971,-84.6640
8.6253,1.4422,-84.5510
8.6348,1.9544,-84.7904
8.6453,2.4185,-85.6538
8.6539,2.9023,-86.1004
8.6638,2.0234,-86.4869
8.6739,2.1792,-86.3401
8.6826,-5.0105,-80.9985
8.6923,-0.7536,-84.5249
8.7018,0.8904,-83.7446
8.7115,0.8306,-84.6984
8.7209,0.5661,-85.5917
8.7296,1.1623,-85.9088
8.7389,2.2277,-84.3081
8.7493,1.1358,-84.7894
8.7588,1.2619,-83.8188
8.7692,1.4052,-82.9780
8.7778,1.5572,-84.0397
8.7877,0.8627,-83.7060
8.7978,1.2765,-84.1796
8.8068,1.5007,-84.6881
8.8162,-0.2803,-84.4673
8.8252,0.1180,-83.9404
8.8352,0.0854,-83.3827
8.8451,-0.5152,-82.7625
8.8546,0.2695,-82.5820
8.8647,0.7466,-82.1881
8.8734,1.0595,-82.4252
8.8833,1.4120,-81.4924
8.8935,1.9707,-82.1891
8.9022,2.4414,-82.9221
8.9126,2.9206,-82.4651
8.9220,2.8415,-83.4198
8.9321,-0.4545,-83.3856
8.9420,0.8066,-82.8380
8.9508,0.1592,-82.3467
8.9608,0.8674,-81.8007
8.9705,0.9734,-82.4438
8.9800,0.9121,-82.9088
8.9901,1.6397,-82.9594
8.9988,1.6264,-83.0744
9.0087,1.6107,-82.7529
9.0181,1.0710,-83.3503
9.0276,1.5977,-83.4122
9.0371,0.7991,-82.7855
9.0457,-0.4926,-82.2253
9.0557,-1.3275,-81.8987
9.0652,-2.5533,-81.8894
9.0749,-4.0649,-80.3859
9.0848,-3.4008,-80.9787
9.0947,-2.7603,-81.5082
9.1042,-2.2389,-81.8725
9.1146,0.2599,-83.9929
9.1236,0.4332,-87.0602
9.1336,1.2270,-87.0413
9.1436,0.5402,-87.5231
9.1532,-1.4147,-86.9990
9.1635,1.7353,-88.2400
9.1721,12.8757,-77.0228
9.1820,1.2038,-87.4306
9.1920,4.0342,-85.6366
9.2021,1.7112,-86.2797
9.2118,-0.0679,-86.2739
9.2205,-1.7658,-86.3875
9.2303,-1.0602,-87.3858
9.2453,0.2190,-88.9716
9.2547,1.7472,-88.1540
9.2631,2.2169,-86.8354
9.2730,0.6783,-87.5101
9.2832,2.3386,-87.0114
9.2937,0.6726,-88.7757
9.3036,0.1818,-89.6182
9.3136,0.8185,-89.1555
9.3228,-1.1297,-88.8162
9.3326,-4.7293,-84.7138
9.3425,-5.8399,-84.1145
9.3524,-2.3047,-87.3353
9.3630,1.0905,-86.8612
9.3731,1.6635,-84.2565
9.3831,2.7496,-83.6865
9.3931,2.7386,-81.1847
9.4022,3.4431,-80.3974
9.4124,4.4615,-79.3505
9.4224,3.7934,-78.8156
9.4342,-0.9131,-81.9102
9.4441,-0.0842,-82.8240
9.4528,-2.9869,-84.5076
9.4630,-3.3959,-83.8648
9.4732,-2.3521,-83.0821
9.4822,-0.4853,-81.4936
9.4925,-0.7514,-81.5596
9.5027,0.5584,-81.3440
9.5135,1.4422,-80.1805
9.5232,1.5710,-78.2750
9.5323,1.4565,-77.9330
9.5433,0.1943,-77.4231
9.5541,-0.2594,-77.4889
9.5644,-2.7654,-77.6342
9.5749,-5.4296,-76.6275
9.5839,-6.9239,-77.4172
9.5943,-8.2056,-76.0218
9.6049,-7.3756,-77.0000
9.6147,-6.3457,-75.9928
9.6245,-4.7050,-75.7255
9.6332,-5.2633,-76.0141
9.6434,-4.2409,-73.3804
9.6534,-1.7204,-72.4391
9.6623,-0.7401,-70.5006
9.6725,-1.7872,-71.3340
9.6821,-1.2175,-70.3556
9.6908,-0.7325,-71.0094
9.7006,-0.0658,-71.6440
9.7109,-1.7065,-72.8322
9.7205,-4.0114,-73.4607
9.7310,-2.0548,-71.2912
9.7413,-1.9176,-70.7301
9.7511,-5.1555,-72.4018
9.7607,-5.8916,-72.4942
9.7707,-5.3087,-72.2580
9.7812,-2.7222,-67.9096
9.7916,-4.3424,-69.1379
9.8007,-3.2631,-68.4764
9.8107,-3.8767,-65.6246
9.8210,-4.2094,-64.0006
9.8311,-6.3766,-64.7537
9.8408,-7.5083,-65.6236
9.8497,-7.4325,-64.5069
9.8597,-9.3254,-64.6065
9.8697,-9.8250,-64.3055
9.8786,-10.2789,-65.7942
9.8887,-9.6972,-65.2069
9.8989,-7.9161,-66.8253
9.9078,-6.4248,-64.8410
9.9183,-5.6728,-65.1590
9.9288,-4.7190,-64.2636
9.9389,-4.4261,-61.9431
9.9487,-2.3076,-60.7215
9.9575,-3.4184,-61.6834
9.9675,-3.5903,-62.2040
9.9779,-6.0221,-62.3488
9.9871,-7.6503,-62.8645
9.9975,-9.7218,-64.5199
10.0079,-10.0077,-64.3525
10.0179,-13.0538,-67.5636
10.0280,-8.3847,-55.0973
10.0369,1.0948,-49.3925
10.0473,-15.7751,-72.9341
10.0577,-17.9991,-70.8358
10.0664,5.9276,-54.3651
10.0762,-13.2979,-30.4645
10.0864,-4.0255,-53.5546
10.0956,-1.7004,-65.1262
10.1058,-2.9966,-54.0620
10.1160,-6.6034,-54.2076
10.1259,-12.3550,-59.4129
10.1361,-12.5707,-58.1211
10.1453,-10.7787,-53.4214
10.1605,-9.9182,-53.8027
10.1714,-11.0099,-50.6516
10.1802,-8.7035,-48.4825
10.1899,-7.4808,-49.0130
10.1997,-4.4599,-48.8123
10.2087,-6.2392,-52.8659
10.2189,-10.2381,-58.0086
10.2295,-12.9704,-58.0249
10.2398,-6.3245,-58.2861
10.2500,-13.3897,-56.4541
10.2590,-13.9584,-52.8544
10.2688,-16.7712,-53.4848
10.2780,-18.0666,-50.5420
10.2877,-11.8199,-49.5927
10.2982,-8.1416,-49.0597
10.3071,-12.5281,-46.0075
10.3170,-10.6499,-46.2610
10.3262,-8.2887,-48.5146
10.3367,-9.5815,-47.6063
10.3465,-10.0725,-49.4417
10.3562,1.8821,-47.8874
10.3661,-17.3722,-49.2493
10.3759,-20.1717,-45.3002
10.3857,-14.5513,-46.1977
10.3952,-15.2832,-46.1907
10.4048,-14.5027,-43.7127
10.4149,-12.3444,-43.9076
10.4240,-15.0047,-45.4149
10.4334,-11.7804,-46.7242
10.4434,-13.2486,-43.9402
10.4536,-14.1339,-43.3006
10.4637,-17.9429,-45.8015
10.4725,-15.7534,-44.7979
10.4824,-28.9872,-44.9874
10.4916,-16.4764,-46.7397
10.5020,-14.6232,-44.2206
10.5117,-14.0420,-42.3647
10.5212,-12.4968,-42.0590
10.5315,-11.4972,-42.5944
10.5406,-11.2663,-37.9146
10.5508,-6.6010,-34.0940
10.5608,-4.9494,-30.0532
10.5703,-11.9747,-30.4661
10.5802,-14.0849,-36.8535
10.5889,-17.6405,-37.4754
10.5990,-14.8773,-36.2086
10.6088,-13.0980,-34.9263
10.6183,-14.4171,-38.1449
10.6279,-12.8000,-41.4254
10.6366,-13.1617,-39.2518
10.6469,-9.7214,-37.4570
10.6566,-8.9368,-37.1786
10.6660,-8.1898,-31.0028
10.6761,-7.7170,-25.3388
10.6858,-10.0619,-26.1054
10.6970,-11.2787,-28.9657
10.7056,-13.5804,-30.9134
10.7153,-12.6483,-34.7298
10.7256,-14.1890,-39.2639
10.7342,-11.3541,-35.8892
10.7439,-7.4851,-33.1634
10.7532,-10.5278,-33.5946
10.7631,-11.6575,-32.8043
10.7728,-13.2316,-30.5126
10.7814,-11.7325,-28.4999
10.7916,-12.7740,-28.1957
10.8007,-13.1165,-27.8545
10.8111,-14.0392,-31.6748
10.8208,-17.1898,-36.6345
10.8301,-18.2839,-38.9300
10.8401,-17.9565,-37.0806
10.8494,-14.6807,-30.8407
10.8591,-10.7425,-26.4577
10.8688,-7.4258,-25.2489
10.8785,-4.7851,-21.6230
10.8936,-2.8703,-15.9108
10.9029,-3.6763,-14.4295
10.9123,-4.4827,-17.2203
10.9209,-8.6928,-24.1522
10.9307,-15.4215,-34.1342
10.9410,-10.3748,-26.1458
10.9507,-7.3078,-23.7313
10.9608,-9.3943,-27.9482
10.9694,-12.7892,-20.3697
10.9793,-8.8150,-14.8226
10.9895,-7.3194,-10.5489
10.9981,-6.2270,-9.1037
11.0086,-5.9797,-10.3428
11.0182,-5.8284,-13.0734
11.0278,-9.0989,-14.5612
11.0378,-17.5836,-22.2543
11.0466,-20.9782,-27.1723
11.0560,-15.8754,-19.4917
11.0658,-10.5898,-19.2576
11.0754,-10.1764,-17.2888
11.0853,-9.0823,-14.4471
