time,roll,pitch,yaw
14.6743,-34.2376,-15.2779,141.5908
14.6974,-30.7177,-19.2749,142.5414
14.7221,-48.4298,-15.2141,127.5488
14.7492,-50.9462,-20.7831,121.3747
14.7787,-44.8880,-25.7002,124.0738
14.8055,-48.2703,-22.9512,122.6450
14.8317,-61.3567,-14.9925,113.8008
14.8588,-56.2796,-21.7821,114.3868
14.8859,-57.5449,-23.2666,111.2997
14.9135,-58.5295,-22.9764,110.2831
14.9403,-64.1383,-17.7993,108.1299
14.9670,-63.6395,-19.8244,106.6542
14.9938,-68.9679,-14.9664,104.4311
15.0203,-66.2743,-19.1277,103.5031
15.0474,-69.9722,-17.1673,100.0024
15.0729,-78.3436,-6.6562,99.5255
15.0992,-75.8165,-10.8882,98.9790
15.1263,-69.8516,-18.7977,96.9917
15.1539,-73.6912,-16.3068,89.7522
15.1807,-79.3875,-10.5602,88.9599
15.2078,-82.2217,-6.8901,86.4080
15.2350,-78.7472,-11.0498,87.8987
15.2619,-79.4989,-8.4308,83.7849
15.2880,-81.9289,-4.5541,83.3506
15.3156,-80.2313,-6.9195,83.1382
15.3479,-77.2792,-10.0479,82.2794
15.3712,-77.4058,-10.9726,83.8940
15.3959,-77.4698,-7.5949,80.0930
15.4191,-81.1803,-6.9907,84.6492
15.4439,-71.0418,-18.4063,85.6148
15.4663,-77.4888,-9.1066,81.4940
15.4907,-79.7088,-7.5534,83.0511
15.5161,-78.6315,-5.5351,80.1013
15.5412,-79.2480,-7.0146,81.8925
15.5652,-77.2742,-9.7999,81.9615
15.5905,-79.2730,-7.7769,82.6573
15.6137,-79.4641,-5.1438,80.8301
15.6388,-82.2007,0.6836,82.2311
15.6617,-79.0653,-6.1092,80.9658
15.6881,-76.1048,-13.6854,87.6398
15.7106,-72.8703,-16.9526,87.6146
15.7358,-78.8885,-11.0027,88.4676
15.7594,-81.5598,-8.3862,89.0542
15.7851,-81.4242,-8.3186,87.9301
15.8077,-76.4687,-13.4823,91.1289
15.8327,-75.5765,-12.5851,96.9325
15.8550,-78.5306,-9.9213,95.6970
15.8804,-82.0455,-7.4033,92.8933
15.9034,-79.3854,-9.1201,95.3848
15.9293,-70.4738,-16.0651,100.8038
15.9546,-67.0607,-18.5484,103.0151
15.9787,-72.8920,-11.2634,102.7075
16.0070,-74.4292,-9.4103,102.2916
16.0287,-65.6324,-14.2911,109.3052
